smiles,energy
C,-177.05854
C#[O+],-425.47283
C1=[O+]O1,-716.37244
C1=[O+]OO1,-1009.25292
C1=[O+]O[O+]1,-1000.00227
C1=[O+]O[O+]=1,-983.64038
C1=[O+]O[OH+]1,-1014.92181
C1=[O+][O+]1,-706.72952
C1=[O+][O+]=1,-692.82367
C1=[O+][O+]O1,-1000.00498
C1=[O+][OH+]1,-722.1343
C1=[O+][OH+]O1,-1014.8665
C1OO1,-736.61189
C1OOO1,-1029.23757
C1OO[O+]1,-1022.4436
C1OO[OH+]1,-1036.73058
C1O[O+]1,-729.39575
C1O[O+]=[O+]1,-1014.38209
C1O[O+]O1,-1022.4436
C1O[O+][O+]1,-1014.38209
C1O[OH+]1,-744.16319
C1O[OH+]O1,-1036.72593
C1[O+]2O[O+]12,-1014.36649
C1[O+]=[O+]1,-721.25567
C1[O+]O[O+]1,-1012.86148
C1[O+][O+]1,-721.25567
C1[O+][OH+]1,-735.32974
C1[OH+][OH+]1,-750.7607
C=O,-444.65418
C=[O+],-437.68933
C=[O+]O,-745.16273
C=[O+]OO,-1037.74862
C=[O+]O[O+],-1018.36802
C=[O+]O[O-],-1030.57777
C=[O+]O[O],-1025.42269
C=[O+][O+],-721.29375
C=[O+][O+]=O,-1017.20046
C=[O+][O+][O-],-1025.42269
C=[O+][O+][O],-1017.20046
C=[O+][O-],-736.04515
C=[O+][OH+],-736.54812
C=[O+][OH+][O-],-1038.09721
C=[O+][OH2+],-751.39159
C=[O+][O],-729.33972
C=[OH+],-452.67782
CO,-472.29931
COO,-764.90888
COOO,-1057.88453
COO[O+],-1037.54581
COO[O-],-1047.90908
COO[O],-1043.87092
CO[O+],-743.33555
CO[O+]=O,-1037.01824
CO[O+][O-],-1043.87092
CO[O+][O],-1037.01824
CO[O-],-754.53525
CO[OH+],-758.43444
CO[OH+][O-],-1056.83602
CO[O],-750.30795
C[O+],-450.4716
C[O+]([O+])[O-],-1033.53747
C[O+]([O-])O,-1057.27073
C[O+]([O-])[O-],-1047.68237
C[O+]([O])[O-],-1041.12363
C[O+]([O])[O],-1033.53747
C[O+]1OO1,-1038.56296
C[O+]=O,-743.47885
C[O+]=[O+],-736.26962
C[O+]=[O+][O-],-1037.02153
C[O+]=[OH+],-750.71409
C[O+]O,-758.43444
C[O+]O[O-],-1043.87092
C[O+]O[O],-1037.54581
C[O+][O+],-736.26962
C[O+][O+][O-],-1037.02153
C[O+][O-],-750.30795
C[O+][OH+],-750.71409
C[O+][O],-743.47885
C[O-],-462.01838
C[OH+],-465.04525
C[OH+]O[O-],-1058.19761
C[OH+][O+],-748.65644
C[OH+][O-],-763.3938
C[OH+][O],-756.77106
C[O],-456.88055
O,-323.0006
O1C2=[O+][O+]12,-981.64818
O1C2O[O+]12,-1009.25275
O1C2[O+][O+]12,-1000.00919
O1C2[OH+][O+]12,-1018.77526
O1OO1,-877.15558
O1O[OH+]1,-882.60805
O1[C+]2O[O+]12,-981.64818
O1[C-]2O[O+]12,-1000.83872
O1[C-]2[O+][O+]12,-998.32195
O1[C-]2[OH+][O+]12,-1010.80525
O1[C]2O[O+]12,-992.89329
O1[C]2[O+][O+]12,-981.64818
O1[C]2[OH+][O+]12,-1005.59181
O1[O+]=[O+]1,-859.81678
O1[O+][O+]1,-859.81678
O1[O+][OH+]1,-875.87285
O1[OH+][OH+]1,-892.86833
O=C(O)O,-1036.6408
O=C(O)[OH+],-1028.3712
O=C(O)[OH2+],-1043.99613
O=C([O+])O,-1012.34438
O=C([O+])[O+],-987.43207
O=C([O+])[O-],-1004.65179
O=C([O+])[OH+],-1003.17963
O=C([O+])[OH2+],-1018.69866
O=C([O-])O,-1027.9952
O=C([O-])[O-],-1018.31603
O=C([O-])[OH+],-1020.65475
O=C([O-])[OH2+],-1036.95219
O=C([OH+])[OH+],-1019.0388
O=C1OO1,-1004.68586
O=C1O[O+]1,-996.55814
O=C1O[OH+]1,-1012.73589
O=C1[O+]=[O+]1,-989.7691
O=C1[O+][O+]1,-989.7691
O=C1[O+][OH+]1,-1004.25409
O=C1[OH+][OH+]1,-1018.20367
O=C=O,-713.9282
O=C=[O+],-704.71666
O=C=[O+]O,-1012.73508
O=C=[O+][O+],-988.90238
O=C=[O+][O-],-1003.77694
O=C=[O+][OH+],-1004.26325
O=C=[O+][OH2+],-1019.76989
O=C=[OH+],-720.72559
O=CO,-741.05279
O=COO,-1033.28892
O=CO[O+],-1012.87717
O=CO[O-],-1023.31133
O=CO[OH+],-1026.17496
O=CO[OH2+],-1041.1253
O=C[O+],-720.72559
O=C[O+]=O,-1011.3666
O=C[O+]=[O+],-1006.11326
O=C[O+]=[OH+],-1018.82425
O=C[O+]O,-1026.17496
O=C[O+][O+],-1006.11326
O=C[O+][O-],-1018.2154
O=C[O+][OH+],-1018.82425
O=C[O-],-731.82046
O=C[OH+],-733.63966
O=C[OH+]O,-1040.79514
O=C[OH+][O+],-1019.29456
O=C[OH+][O-],-1031.29568
O=C[OH2+],-748.58934
O=O,-585.94074
O=[C+]O,-720.72559
O=[C+]OO,-1012.73508
O=[C+]O[O+],-988.90238
O=[C+]O[O-],-1003.77694
O=[C+]O[OH+],-1004.26325
O=[C+]O[OH2+],-1019.76989
O=[C+][O+],-694.924
O=[C+][O+]=O,-989.77019
O=[C+][O+]O,-1004.26325
O=[C+][O+][O-],-998.24488
O=[C+][O-],-713.9282
O=[C+][OH+],-710.26702
O=[C+][OH+]O,-1018.15931
O=[C+][OH+][O-],-1010.95124
O=[C+][OH2+],-726.27958
O=[C-]O,-731.82046
O=[C-]OO,-1027.99501
O=[C-]O[O+],-1004.93299
O=[C-]O[O-],-1012.93998
O=[C-]O[OH+],-1020.58444
O=[C-]O[OH2+],-1036.97183
O=[C-][O+],-713.9282
O=[C-][O+]=O,-1003.77631
O=[C-][O+]=[O+],-998.24536
O=[C-][O+]=[OH+],-1012.73416
O=[C-][O+]O,-1020.58444
O=[C-][O+][O+],-998.24536
O=[C-][O+][O-],-1008.64098
O=[C-][O+][OH+],-1012.73416
O=[C-][O+][OH2+],-1028.8837
O=[C-][O-],-720.23322
O=[C-][OH+],-726.28957
O=[C-][OH+]O,-1036.90096
O=[C-][OH+][O+],-1011.66546
O=[C-][OH+][O-],-1022.06541
O=[C-][OH+][OH+],-1027.39349
O=[C-][OH+][OH2+],-1043.93448
O=[C-][OH2+],-740.53468
O=[C]O,-726.28957
O=[C]OO,-1020.58444
O=[C]O[O+],-998.24536
O=[C]O[O-],-1008.64098
O=[C]O[OH+],-1012.73416
O=[C]O[OH2+],-1028.8837
O=[C][O+],-704.71666
O=[C][O+]=O,-998.24536
O=[C][O+]=[O+],-988.90238
O=[C][O+]=[OH+],-1004.26325
O=[C][O+]O,-1012.73508
O=[C][O+][O+],-988.90238
O=[C][O+][O-],-1003.77694
O=[C][O+][OH+],-1004.26325
O=[C][O+][OH2+],-1019.76989
O=[C][O-],-717.59965
O=[C][OH+],-720.72559
O=[C][OH+]O,-1027.39349
O=[C][OH+][O+],-1005.14114
O=[C][OH+][O-],-1017.95817
O=[C][OH+][OH+],-1020.09468
O=[C][OH2+],-733.84321
O=[O+],-580.73232
O=[O+]C#[O+],-989.77019
O=[O+]C=[O+],-1006.14313
O=[O+]C=[OH+],-1017.61601
O=[O+]CO,-1038.47692
O=[O+]C[O+],-1018.30335
O=[O+]C[O-],-1030.58371
O=[O+]O,-887.49496
O=[O+][C+2][O-],-989.75862
O=[O+][C+]O,-1006.14313
O=[O+][C+][O-],-998.24536
O=[O+][C-2]O,-1022.22671
O=[O+][C-2][O+],-1004.93361
O=[O+][C-2][O-],-1012.41845
O=[O+][C-2][OH+],-1017.19581
O=[O+][C-2][OH2+],-1031.24409
O=[O+][C-]=[O+],-998.24536
O=[O+][C-]=[OH+],-1011.3666
O=[O+][C-]O,-1018.21613
O=[O+][C-][O+],-998.24536
O=[O+][C-][O-],-1008.94923
O=[O+][C-][OH+],-1011.3666
O=[O+][C-][OH2+],-1024.39589
O=[O+][CH+]O,-1017.61601
O=[O+][CH+][O-],-1011.3666
O=[O+][CH-]O,-1031.79834
O=[O+][CH-][O+],-1011.3666
O=[O+][CH-][O-],-1023.31154
O=[O+][CH-][OH+],-1025.70107
O=[O+][CH-][OH2+],-1038.55894
O=[O+][CH]O,-1025.70461
O=[O+][CH][O+],-1006.14313
O=[O+][CH][O-],-1018.21613
O=[O+][CH][OH+],-1017.61601
O=[O+][C]=[O+],-989.77019
O=[O+][C]=[OH+],-1006.14313
O=[O+][C]O,-1011.3666
O=[O+][C][O+],-989.77019
O=[O+][C][O-],-1003.77631
O=[O+][C][OH+],-1006.14313
O=[O+][C][OH2+],-1018.11566
O=[O+][O+],-865.16606
O=[O+][O-],-879.51266
O=[O+][OH+],-877.34247
O=[O+][OH2+],-895.5213
O=[OH+],-593.45887
OC(O)=[OH+],-1044.40471
OC(O)O,-1064.07415
OC1=[O+]O1,-1011.84865
OC1=[O+][O+]1,-1002.63177
OC1=[O+][OH+]1,-1017.90449
OC1OO1,-1032.27216
OC1O[O+]1,-1024.98525
OC1O[OH+]1,-1041.1146
OC1[O+]=[O+]1,-1017.5874
OC1[O+][O+]1,-1017.5874
OC=[O+]O,-1041.11818
OC=[OH+],-748.94423
OCO,-768.0097
OCOO,-1060.10982
OC[OH+],-760.48796
OO,-615.21396
OOC=[OH+],-1041.11818
OOO,-908.23295
OO[C+]=[OH+],-1017.73743
OO[C+][OH+],-1017.73743
OO[C-2][OH+],-1037.41498
OO[C-2][OH2+],-1054.01746
OO[C-]=[OH+],-1033.28892
OO[C-][OH+],-1033.28892
OO[C-][OH2+],-1047.24072
OO[CH-][OH+],-1047.52296
OO[CH-][OH2+],-1061.38257
OO[CH][OH+],-1041.11818
OO[C]=[OH+],-1026.17496
OO[C][OH+],-1026.17496
OO[C][OH2+],-1039.765
OO[OH+],-901.17525
OO[OH2+],-916.34669
O[C+2]O,-726.24515
O[C+2]OO,-1017.73743
O[C+](O)O,-1044.40471
O[C+]1OO1,-1011.84865
