smiles,energy
[CH-][O-],-434.35836
[CH-][OH+],-442.80712
[CH-][OH+][O],-737.79968
[CH-][O],-433.41037
[CH2+2],-132.39445
[CH2+],-140.06302
[CH2+]O[O-],-736.04515
[CH2+][O+],-426.42853
[CH2+][O-],-444.65457
[CH2+][O],-437.68933
[CH2-2],-150.47712
[CH2-],-149.28607
[CH2-]O[O+],-735.18312
[CH2-][O+],-442.68956
[CH2-][O+]=O,-736.04483
[CH2-][O+][O],-736.04483
[CH2-][O],-447.95337
[CH2],-146.35968
[CH2]O[O],-735.18312
[CH2][O+],-437.68933
[CH2][O+][O-],-736.04515
[CH2][O-],-447.95337
[CH2][O],-442.68956
[CH],-129.95175
[CH]1OO1,-721.81308
[CH]1O[O+]1,-716.37244
[CH]=O,-430.21968
[CH]=[O+],-425.47283
[CH]=[O+][O-],-725.15838
[CH]=[O+][O],-716.38386
[CH]=[OH+],-437.50255
[CH]O,-442.80712
[CH]OO,-738.05031
[CH]O[O+],-716.42046
[CH]O[O-],-725.4733
[CH]O[O],-725.15884
[CH][O+],-425.47283
[CH][O+]=O,-716.38386
[CH][O+][O-],-725.15838
[CH][O+][O],-716.38386
[CH][O-],-433.41037
[CH][OH+],-437.50255
[CH][OH+][O-],-737.79968
[CH][O],-430.21968
[C],-111.83198
[C]#[O+],-408.75652
[C]1=[O+]O1,-704.71547
[C]1=[O+][O+]1,-692.82367
[C]1OO1,-708.25782
[C]1O[O+]1,-704.71547
[C]1O[OH+]1,-715.74032
[C]1[O+]=[O+]1,-692.82367
[C]1[O+][O+]1,-692.82367
[C]=O,-417.51453
[C]=[O+],-408.75652
[C]=[O+]O,-717.05217
[C]=[O+][O+],-693.21343
[C]=[O+][O-],-708.44602
[C]=[O+][O],-702.09895
[C]=[OH+],-420.20068
[C]O,-428.54018
[C]OO,-724.17349
[C]O[O-],-713.50406
[C]O[OH+],-717.0737
[C]O[O],-708.45344
[C][O+]O,-717.05217
[C][O+][O-],-708.44602
[C][O-],-419.4091
[C][OH+],-420.20068
[C][OH+][O-],-719.52786
[C][OH+][O],-713.08643
[C][OH2+],-432.28851
[C][O],-417.51453
[H+],-8.227469999999983
[H-],-13.51462
[H],-11.07011
[H][H],-28.04697
[O+],-284.53259
[O+]#CO,-720.72559
[O+]#C[O-],-713.9282
[O+]#[O+],-572.57091
[O+]=C=[O+],-694.924
[O+]=C[O-],-726.28957
[O+]=[C+][O-],-704.71666
[O+]=[C-]O,-726.28957
[O+]=[C-][O-],-717.59965
[O+]=[C-][OH+],-720.72559
[O+]=[C]O,-720.72559
[O+]=[C][O-],-713.9282
[O+]=[O+],-572.57091
[O+]=[OH+],-585.39224
[O+]C#[O+],-694.924
[O+]C[O-],-736.80946
[O+]O,-593.85035
[O+][C+2][O-],-694.91816
[O+][C+][O-],-704.71666
[O+][C-2]O,-728.83743
[O+][C-2][O+],-706.36582
[O+][C-2][O-],-718.75672
[O+][C-2][OH+],-721.83086
[O+][C-2][OH2+],-737.56804
[O+][C-]=[O+],-704.71666
[O+][C-]=[OH+],-720.72559
[O+][C-]O,-726.28957
[O+][C-][O-],-717.59965
[O+][C-][OH+],-720.72559
[O+][CH+][O-],-720.72559
[O+][CH-]O,-741.05279
[O+][CH-][O+],-720.72559
[O+][CH-][O-],-731.82046
[O+][CH][O-],-726.28957
[O+][C]=[O+],-694.924
[O+][C]O,-720.72559
[O+][C][O-],-713.9282
[O+][O+],-572.57091
[O+][O-],-585.94074
[O+][OH+],-585.39224
[O+][OH2+],-599.47238
[O-2],-299.91227
[O-],-296.06935
[O-]C=[OH+],-741.05279
[O-]O,-604.93494
[O-][C+2]O,-720.72559
[O-][C+2][O-],-713.92819
[O-][C+]=[OH+],-720.72559
[O-][C+]O,-726.28957
[O-][C+][O-],-717.59965
[O-][C+][OH+],-720.72559
[O-][C-]=[OH+],-731.82046
[O-][C-][OH+],-731.82046
[O-][CH+]O,-741.05279
[O-][CH+][O-],-731.82046
[O-][CH][OH+],-741.05279
[O-][C]=[OH+],-726.28957
[O-][C]O,-731.82046
[O-][C][O-],-720.23322
[O-][C][OH+],-726.28957
[O-][C][OH2+],-740.53468
[O-][O-],-593.58147
[O-][OH+],-600.4431
[O-][OH2+],-613.91316
[OH+],-299.52754
[OH+]=[OH+],-599.56073
[OH+][C-2][OH+],-738.02642
[OH+][OH+],-599.56073
[OH-],-312.66913
[OH2+],-314.97531
[OH3+],-331.22807
[OH],-306.66459
[O],-290.94352
[O]C#[O+],-704.71666
[O]C=O,-726.28957
[O]C=[O+],-720.72559
[O]C[O],-736.80946
[O]O,-600.4431
[O][C+2][O-],-704.71666
[O][C+2][O],-694.924
[O][C+]=O,-704.71666
[O][C+]=[O+],-694.924
[O][C+]O,-720.72559
[O][C+][O+],-694.924
[O][C+][O-],-713.9282
[O][C+][O],-704.71666
[O][C-2][O+],-713.03708
[O][C-2][OH+],-728.83743
[O][C-2][O],-718.75672
[O][C-]=O,-717.59965
[O][C-]=[O+],-713.9282
[O][C-]=[OH+],-726.28957
[O][C-]O,-731.82046
[O][C-][O+],-713.9282
[O][C-][O-],-720.23322
[O][C-][OH+],-726.28957
[O][C-][OH2+],-740.53468
[O][C-][O],-717.59965
[O][CH+][O-],-726.28957
[O][CH+][O],-720.72559
[O][CH-][O+],-726.28957
[O][CH-][OH+],-737.72756
[O][CH-][O],-728.30101
[O][CH]O,-741.05279
[O][CH][O+],-720.72559
[O][CH][O-],-731.82046
[O][CH][O],-726.28957
[O][C]=O,-713.9282
[O][C]=[O+],-704.71666
[O][C]=[OH+],-720.72559
[O][C]O,-726.28957
[O][C][O-],-717.59965
[O][C][OH+],-720.72559
[O][C][O],-713.9282
[O][O+],-580.73232
[O][O-],-590.91556
[O][OH+],-593.45887
[O][OH2+],-607.34144
[O][O],-585.94074
